Zona,Distrito,Barrio,Sección_censal,Latitud,Longitud,Título,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Bus,Metro_y_Ferrocarril,RENFE,Tramvia,Gasto_mensual_familiar,Ingreso_mensual_familiar,Tasa_paro,Num_viviendas,Superficie_media_viviendas,Nacionalidad_española,Nacionalidad_extranjera,Población,Hombres,Mujeres,Zona_cat,Target
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3776108269,2.1648982684,Alquiler piso  amueblado mercat sant ant.. en Barcelona,750,48,2,1,0,1,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3776108269,2.1648982684,Alquiler piso  amueblado mercat sant ant.. en Barcelona,750,48,2,1,0,1,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.37778,2.16498,Alquiler ático  de 1 dormitorio con terraza privada en alquiler en el centro en Barcelona,1375,76,1,1,1,1,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3769491455,2.1656047801,"Alquiler ático atico,1hab,perfecto,tza.comunit. en Barcelona",750,40,1,1,1,0,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3770144066,2.1656168949000003,Alquiler apartamento piso en alquiler en Sant Antoni en Barcelona,1000,70,4,2,0,0,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,1
0,1. CIUTAT VELLA,1. el Raval,0801901004,41.3764076735,2.1666459224000003,Alquiler ático muy alto y luminoso en Raval Barcelona,795,44,2,1,1,1,0,5,1,0,0,3172.0075,2558.39,9.96720978412332e-02,1055,96,1564,1243,2807,1540,1267,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901004,41.3766997722,2.166577244,Alquiler ático en Raval Barcelona,825,48,2,1,1,0,0,5,1,0,0,3172.0075,2558.39,9.96720978412332e-02,1055,96,1564,1243,2807,1540,1267,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3771541138,2.1661264722,Alquiler piso  de 2 habitaciones con piscina comunitaria en Barcelona,990,87,2,2,0,0,1,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3771541138,2.1661264722,Alquiler piso  de 2 habitaciones con piscina comunitaria en Barcelona,990,87,2,2,0,0,1,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.377033630599996,2.1661552137999998,Alquiler apartamento atico en alquiler en el Raval en Barcelona,850,55,1,1,0,0,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,0
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3773971,2.1661692,Alquiler piso en carrer reina amalia reformado.ascensor.disponible ya en Barcelona,850,55,3,1,0,0,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,1
0,1. CIUTAT VELLA,1. el Raval,0801901009,41.3773971,2.1661692,"Alquiler piso en carrer reina amalia piso centrico, luminoso, tranquilo y reformado en Barcelona",850,54,3,1,0,0,0,1,0,0,0,3355.43,2643.59,0.112254181336234,843,80.3,1068,1180,2248,1259,989,Popular,1
