year,tournament,start_date,end_date,location,court_surface,prize_money,currency,masters
2012,kosice_challenger,2012-06-11,2012-06-17,Slovakia,Clay,30000,€,100
2011,copa-milo---chile-deportes-2011_itf_juniors0,2011-02-14,2011-02-19,CHI,Clay,,,0
2011,copa-milo---chile-deportes-2011_itf_juniors1,2011-02-14,2011-02-19,CHI,Clay,,,0
2017,1st-tajikistan-tennis-federation-cup_itf_juniors1,2017-05-16,2017-05-21,TJK,Hard,,,0
2011,jalisco-junior-cup-2011_itf_juniors0,2011-02-14,2011-02-19,MEX,Clay,,,0
2011,jalisco-junior-cup-2011_itf_juniors1,2011-02-14,2011-02-19,MEX,Clay,,,0
2005,prague_challenger,2005-11-21,2005-11-27,Czechia,Carpet,25000,$,100
2011,3rd-kenya-international-junior-championship_itf_juniors0,2011-02-14,2011-02-19,KEN,Clay,,,0
2017,itf-junior-circuit-mozambique-leg-1_itf_juniors0,2017-05-22,2017-05-26,MOZ,Hard,,,0
2011,3rd-kenya-international-junior-championship_itf_juniors1,2011-02-14,2011-02-19,KEN,Clay,,,0
2002,togliatti_challenger,2002-07-15,2002-07-21,Russian Federation,Hard,25000,$,100
2011,itf-4-indoor-almere-2011_itf_juniors0,2011-02-15,2011-02-19,NED,Hard,,,0
2017,itf-junior-circuit-mozambique-leg-1_itf_juniors1,2017-05-22,2017-05-26,MOZ,Hard,,,0
2011,itf-4-indoor-almere-2011_itf_juniors1,2011-02-15,2011-02-19,NED,Hard,,,0
1997,france-1-masters_itf_procircuit2,1997-01-04,1997-02-02,FRA,Clay,,,25
2011,trofeul-d-sturdza_itf_juniors0,2011-02-15,2011-02-20,MDA,Carpet,,,0
2012,5th-malacca-itf-international-tennis-championships-2012_itf_juniors0,2012-02-27,2012-03-02,MAS,Hard,,,0
2011,trofeul-d-sturdza_itf_juniors1,2011-02-15,2011-02-20,MDA,Carpet,,,0
2003,togliatti_challenger,2003-07-14,2003-07-20,Russian Federation,Hard,25000,$,100
2011,el-salvador-junior-open_itf_juniors0,2011-02-21,2011-02-26,ESA,Hard,,,0
2017,itf-tbilisi-cup-2017_itf_juniors0,2017-05-22,2017-05-27,GEO,Hard,,,0
2011,el-salvador-junior-open_itf_juniors1,2011-02-21,2011-02-26,ESA,Hard,,,0
2012,5th-malacca-itf-international-tennis-championships-2012_itf_juniors1,2012-02-27,2012-03-02,MAS,Hard,,,0
2011,argentina-cup_itf_juniors0,2011-02-21,2011-02-26,ARG,Clay,,,0
2011,argentina-cup_itf_juniors1,2011-02-21,2011-02-26,ARG,Clay,,,0
2003,mordovia_challenger,2003-08-04,2003-08-10,Russian Federation,Clay,25000,$,100
2011,aivaras-balzekas-memorial-cup-2011_itf_juniors0,2011-02-22,2011-02-26,LTU,Carpet,,,0
2013,wichita-falls_itf_juniors0,2013-09-30,2013-10-05,USA,Hard,,,0
1997,france-1-masters_itf_procircuit3,1997-01-04,1997-02-02,FRA,Clay,,,25
2013,wichita-falls_itf_juniors1,2013-09-30,2013-10-05,USA,Hard,,,0
2013,27º-arthrom-tennis-cup_itf_juniors0,2013-09-30,2013-10-05,BRA,Clay,,,0
2013,27º-arthrom-tennis-cup_itf_juniors1,2013-09-30,2013-10-05,BRA,Clay,,,0
1972,caracas,1972-03-17,,Venezuela (Bolivarian Republic of),Hard,,,
2013,riad-21_itf_juniors0,2013-09-30,2013-10-05,MAR,Clay,,,0
2017,itf-tbilisi-cup-2017_itf_juniors1,2017-05-22,2017-05-27,GEO,Hard,,,0
2013,kaohsiung_challenger,2013-09-16,2013-09-22,"Taiwan, Province of China",Hard,125000,$,100
2013,riad-21_itf_juniors1,2013-09-30,2013-10-05,MAR,Clay,,,0
1997,france-1-masters_itf_procircuit0,1997-01-04,1997-02-02,FRA,Clay,,,25
2015,kaohsiung_challenger,2015-09-21,2015-09-27,"Taiwan, Province of China",Hard,125000,$,100
2015,16th-iran-junior-tournaments_itf_juniors1,2015-09-28,2015-10-03,IRI,Clay,,,0
2017,bishkek-open---1_itf_juniors0,2017-05-22,2017-05-27,KGZ,Clay,,,0
2006,surbiton_challenger,2006-06-05,2006-06-11,United Kingdom of Great Britain and Northern Ireland,Grass,50000,$,100
2015,londrina-juniors-cup_itf_juniors0,2015-09-28,2015-10-03,BRA,Clay,,,0
1997,france-1-masters_itf_procircuit1,1997-01-04,1997-02-02,FRA,Clay,,,25
2017,bishkek-open---1_itf_juniors1,2017-05-22,2017-05-27,KGZ,Clay,,,0
2015,londrina-juniors-cup_itf_juniors1,2015-09-28,2015-10-03,BRA,Clay,,,0
2007,surbiton_challenger,2007-06-04,2007-06-10,United Kingdom of Great Britain and Northern Ireland,Grass,50000,$,100
2015,2015-yanggu-international-tennis-championships_itf_juniors0,2015-09-28,2015-10-04,KOR,Hard,,,0
2017,chuquiago-junior-open-2017_itf_juniors0,2017-05-22,2017-05-27,BOL,Clay,,,0
2004,ukraine-f1-futures_itf_procircuit0,2004-06-21,2004-06-27,UKR,Clay,,,25
1997,italy-1-masters_itf_procircuit0,1997-01-04,1997-02-02,ITA,Carpet,,,25
1997,italy-1-masters_itf_procircuit1,1997-01-04,1997-02-02,ITA,Carpet,,,25
1997,italy-1-masters_itf_procircuit2,1997-01-04,1997-02-02,ITA,Carpet,,,25
1997,italy-1-masters_itf_procircuit3,1997-01-04,1997-02-02,ITA,Carpet,,,25
1997,central-america-masters_itf_procircuit2,1997-01-04,1997-02-02,PAN,Clay,,,25
2000,netherlands-f1-futures_itf_procircuit0,2000-08-28,2000-09-03,NED,Clay,,,25
2009,usa-f20-futures_itf_procircuit0,2009-08-03,2009-08-09,USA,Hard,,,25
2004,usa-f15-futures_itf_procircuit0,2004-06-21,2004-06-27,USA,Hard,,,25
2000,spain-f8-futures_itf_procircuit0,2000-08-28,2000-09-03,ESP,Clay,,,25
2009,iran-f6-futures_itf_procircuit0,2009-08-10,2009-08-14,IRI,Clay,,,25
2008,italy-f27-futures_itf_procircuit0,2008-08-18,2008-08-24,ITA,Clay,,,25
2009,colombia-f3-futures_itf_procircuit0,2009-08-10,2009-08-16,COL,Clay,,,25
2010,india-f3-futures_itf_procircuit0,2010-03-29,2010-04-04,IND,Hard,,,25
2008,netherlands-f4-futures_itf_procircuit0,2008-08-18,2008-08-24,NED,Clay,,,25
2010,croatia-f3-futures_itf_procircuit0,2010-03-29,2010-04-04,CRO,Clay,,,25
2010,turkey-f6-futures_itf_procircuit0,2010-04-05,2010-04-11,TUR,Clay,,,25
2010,china-f4-futures_itf_procircuit0,2010-04-12,2010-04-18,CHN,Hard,,,25
2010,uzbekistan-f1-futures_itf_procircuit0,2010-04-19,2010-04-25,UZB,Hard,,,25
2010,romania-f1-futures_itf_procircuit0,2010-05-17,2010-05-23,ROU,Clay,,,25
2010,spain-f17-futures_itf_procircuit0,2010-05-17,2010-05-23,ESP,Clay,,,25
2010,italy-f10-futures_itf_procircuit0,2010-05-24,2010-05-30,ITA,Clay,,,25
2014,egypt-f17-futures_itf_procircuit0,2014-05-05,2014-05-11,EGY,Clay,,,25
2008,itf-luzern-junior-competition_itf_juniors1,2008-09-16,2008-09-21,SUI,Clay,,,0
2018,vancouver_challenger,2018-08-13,2018-08-19,Canada,Hard,100000,$,100
2018,cordenons_challenger,2018-08-13,2018-08-19,Italy,Clay,64000,€,100
2010,loughborough_challenger,2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500,€,100
2015,washington,2015-08-03,2015-08-09,USA,Hard,1508815,$,500
2013,tokyo,2013-09-30,2013-10-06,Japan,Hard,1297000,$,500
2014,kuala-lumpur,2014-09-22,2014-09-28,Malaysia,Hard,910520,$,250
2015,kitzbuhel,2015-08-03,2015-08-08,Austria,Clay,439405,€,250
2013,shanghai,2013-10-07,2013-10-13,China,Hard,3849445,$,1000
2014,shenzhen,2014-09-22,2014-09-28,China,Hard,590230,$,250
2011,aivaras-balzekas-memorial-cup-2011_itf_juniors1,2011-02-22,2011-02-26,LTU,Carpet,,,0
2015,montreal,2015-08-10,2015-08-16,Canada,Hard,3587490,$,1000
2013,stockholm,2013-10-14,2013-10-20,Sweden,Hard,530165,€,250
2014,beijing,2014-09-29,2014-10-05,China,Hard,2500470,$,500
2014,tokyo,2014-09-29,2014-10-05,Japan,Hard,1228825,$,500
2015,cincinnati,2015-08-16,2015-08-23,USA,Hard,3826655,$,1000
2013,vienna,2013-10-14,2013-10-20,Austria,Hard,501355,€,250
2014,shanghai,2014-10-05,2014-10-12,China,Hard,4195895,$,1000
2013,valencia,2013-10-21,2013-10-27,Spain,Hard,1496095,€,500
2015,winston-salem,2015-08-23,2015-08-30,USA,Hard,616210,$,250
2015,us-open,2015-08-31,2015-09-13,USA,Hard,19852700,$,2000
2013,basel,2013-10-21,2013-10-27,Switzerland,Hard,1445835,€,500
2015,beijing,2015-10-05,2015-10-11,China,Hard,2700510,$,500
2015,tokyo,2015-10-05,2015-10-11,Japan,Hard,1263045,$,500
2015,shanghai,2015-10-11,2015-10-18,China,Hard,4783320,$,1000
2015,vienna,2015-10-19,2015-10-25,Austria,Hard,1745040,€,500
2015,stockholm,2015-10-19,2015-10-25,Sweden,Hard,537050,€,250
2015,basel,2015-10-26,2015-11-01,Switzerland,Hard,1575295,€,500
2015,paris,2015-11-02,2015-11-08,France,Hard,3288530,€,1000
2017,sofia,2017-02-06,2017-02-12,Bulgaria,Hard,482060,€,250
2017,rotterdam,2017-02-13,2017-02-19,Netherlands,Hard,1724930,€,500
2011,itf/cat-north-african-circuit_itf_juniors0,2011-02-22,2011-02-26,ALG,Clay,,,0
2016,dubai,2016-02-22,2016-02-27,UAE,Hard,2249215,$,500
2017,memphis,2017-02-13,2017-02-19,USA,Hard,642750,$,250
2016,acapulco,2016-02-22,2016-02-27,Mexico,Hard,1413600,$,500
2017,buenos-aires,2017-02-13,2017-02-19,Argentina,Clay,546680,$,250
2017,rio-de-janeiro,2017-02-20,2017-02-26,Brazil,Clay,1461560,$,500
2016,sao-paulo,2016-02-22,2016-02-28,Brazil,Clay,436220,$,250
2017,marseille,2017-02-20,2017-02-26,France,Hard,620660,€,250
2016,indian-wells,2016-03-10,2016-03-20,USA,Hard,6134605,$,1000
2017,delray-beach,2017-02-20,2017-02-26,USA,Hard,534625,$,250
2017,miami,2017-03-22,2017-04-02,USA,Hard,6993450,$,1000
2016,barcelona,2016-04-18,2016-04-24,Spain,Clay,2152690,€,500
2016,bucharest,2016-04-18,2016-04-24,Romania,Clay,463520,€,250
2016,estoril,2016-04-25,2016-05-01,Portugal,Clay,463520,€,250
2017,houston,2017-04-10,2017-04-16,USA,Clay,535625,$,250
2017,marrakech,2017-04-10,2017-04-16,Morocco,Clay,482060,€,250
2016,munich,2016-04-25,2016-05-01,Germany,Clay,463520,€,250
2017,monte-carlo,2017-04-16,2017-04-23,Monaco,Clay,4273775,€,1000
2016,istanbul,2016-04-25,2016-05-01,Turkey,Clay,426530,€,250
2016,madrid,2016-05-01,2016-05-08,Spain,Clay,4771360,€,1000
2017,barcelona,2017-04-24,2017-04-30,Spain,Clay,2324905,€,500
2017,budapest,2017-04-24,2017-04-30,Hungary,Clay,482060,€,250
2016,rome,2016-05-08,2016-05-15,Italy,Clay,3748925,€,1000
2016,geneva,2016-05-15,2016-05-21,Switzerland,Clay,499645,€,250
2011,itf/cat-north-african-circuit_itf_juniors1,2011-02-22,2011-02-26,ALG,Clay,,,0
2015,sanchez-casal-junior-cup-2015_itf_juniors0,2015-10-05,2015-10-10,ESP,Clay,,,0
2007,st-brieuc_challenger,2007-03-26,2007-04-01,France,Hard,25000,$,100
2015,glasgow_challenger,2015-02-02,2015-02-08,United Kingdom of Great Britain and Northern Ireland,Hard,42500,€,100
2013,nottingham_challenger,2013-06-04,2013-06-09,United Kingdom of Great Britain and Northern Ireland,Grass,64000,€,100
2014,nottingham_challenger,2014-06-03,2014-06-08,United Kingdom of Great Britain and Northern Ireland,Grass,64000,€,100
2000,dominican-republic-f1-futures_itf_procircuit0,2000-08-28,2000-09-03,DOM,Clay,,,25
2015,sanchez-casal-junior-cup-2015_itf_juniors1,2015-10-05,2015-10-10,ESP,Clay,,,0
2014,nottingham_challenger,2014-06-09,2014-06-15,United Kingdom of Great Britain and Northern Ireland,Grass,64000,€,100
2017,stuttgart,2017-06-12,2017-06-18,Germany,Grass,630785,€,250
2015,surbiton_challenger,2015-06-08,2015-06-14,United Kingdom of Great Britain and Northern Ireland,Grass,42500,€,100
2015,ilkley_challenger,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500,€,100
2017,s-hertogenbosch,2017-06-12,2017-06-18,Netherlands,Grass,589185,€,250
2015,copa-santa-catarina-de-tenis_itf_juniors0,2015-10-05,2015-10-10,BRA,Clay,,,0
2017,halle,2017-06-19,2017-06-25,Germany,Grass,1836660,€,500
2000,peru-f1-futures_itf_procircuit0,2000-08-28,2000-09-03,PER,Clay,,,25
2010,china-f5-futures_itf_procircuit0,2010-05-31,2010-06-06,CHN,Hard,,,25
2018,italy-f20-futures_itf_procircuit0,2018-07-23,2018-07-29,ITA,Clay,,,25
2008,argentina-f10-futures_itf_procircuit0,2008-09-08,2008-09-14,ARG,Clay,,,25
2010,spain-f19-futures_itf_procircuit0,2010-05-31,2010-06-06,ESP,Hard,,,25
2014,great-britain-f11-futures_itf_procircuit0,2014-05-05,2014-05-11,GBR,Clay,,,25
2014,israel-f5-futures_itf_procircuit0,2014-05-05,2014-05-11,ISR,Hard,,,25
2011,bavarian-junior-championships_itf_juniors0,2011-02-22,2011-02-27,Germany,Carpet,,,0
2018,portugal-f12-futures_itf_procircuit0,2018-07-23,2018-07-29,POR,Clay,,,25
2007,san-luis-potosi_challenger,2007-04-02,2007-04-08,Mexico,Clay,50000,$,100
2007,tallahassee_challenger,2007-04-02,2007-04-08,USA,Clay,50000,$,100
2010,itf-junior-cup-copenhagen-indoor-2010_itf_juniors1,2010-02-16,2010-02-20,DEN,Hard,,,0
2018,newport-beach-itf_itf_juniors1,2018-03-19,2018-03-24,USA,Hard,,,0
2018,1st-qatar-itf-open-2018_itf_juniors0,2018-03-19,2018-03-24,QAT,Hard,,,0
2018,doha,2018-01-01,2018-01-06,Qatar,Hard,1286675,$,250
2018,pune,2018-01-01,2018-01-06,India,Hard,501345,$,250
2018,sydney,2018-01-07,2018-01-13,Australia,Hard,468910,$,250
2018,auckland,2018-01-08,2018-01-13,New Zealand,Hard,501345,$,250
2018,australian-open,2018-01-15,2018-01-28,Australia,Hard,25096000,A$,2000
2018,monte-carlo,2018-04-15,2018-04-22,Monaco,Clay,4872105,€,1000
2018,barcelona,2018-04-23,2018-04-29,Spain,Clay,2510900,€,500
2005,manchester_challenger,2005-07-11,2005-07-17,United Kingdom of Great Britain and Northern Ireland,Grass,25000,$,100
2006,manchester_challenger,2006-07-17,2006-07-23,United Kingdom of Great Britain and Northern Ireland,Grass,25000,$,100
2006,nottingham_challenger,2006-07-24,2006-07-30,United Kingdom of Great Britain and Northern Ireland,Grass,25000,$,100
2008,jersey_challenger,2008-11-10,2008-11-16,United Kingdom of Great Britain and Northern Ireland,Hard,30000,€,100
2012,nottingham_challenger,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000,€,100
1970,bristol,1970-06-08,1970-06-14,United Kingdom of Great Britain and Northern Ireland,Grass,10600,£,
1970,nottingham,1970-06-08,1970-06-14,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1970,beckenham,1970-06-08,1970-06-14,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1970,eastbourne,1970-06-15,1970-06-21,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1970,london,1970-06-15,,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1970,wimbledon,1970-06-22,,United Kingdom of Great Britain and Northern Ireland,Grass,,,2000
1971,bournemouth,1971-05-22,,United Kingdom of Great Britain and Northern Ireland,Clay,,,
1970,newport,1970-07-05,1970-07-12,United Kingdom of Great Britain and Northern Ireland,Grass,,,
2013,yanggu-international-junior-tennis-championships-2013_itf_juniors0,2013-09-30,2013-10-06,KOR,Hard,,,0
1969,wembley,1969-11-17,,United Kingdom of Great Britain and Northern Ireland,Hard,,,
1971,bristol,1971-06-11,,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1971,eastbourne,1971-06-14,1971-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1971,london,1971-06-14,,United Kingdom of Great Britain and Northern Ireland,Grass,,,
1973,london,1973-01-18,,United Kingdom of Great Britain and Northern Ireland,Hard,50000,$,
1971,wimbledon,1971-06-21,,United Kingdom of Great Britain and Northern Ireland,Grass,,,2000
1990,croydon_challenger,1990-02-12,1990-02-18,United Kingdom of Great Britain and Northern Ireland,Hard,50000,$,100
1989,manchester_challenger,1989-06-12,1989-06-18,United Kingdom of Great Britain and Northern Ireland,Grass,25000,$,100
1991,telford_challenger,1991-02-04,1991-02-10,United Kingdom of Great Britain and Northern Ireland,Grass,50000,$,100
1990,bristol_challenger,1990-07-16,1990-07-22,United Kingdom of Great Britain and Northern Ireland,Grass,50000,$,100
2011,itf-east-africa-circuit---kenya_itf_juniors0,2011-02-22,2011-02-27,KEN,Clay,,,0
1991,bristol_challenger,1991-07-08,1991-07-14,United Kingdom of Great Britain and Northern Ireland,Grass,50000,$,100
1991,newcastle_challenger,1991-07-15,1991-07-21,United Kingdom of Great Britain and Northern Ireland,Clay,50000,$,100
1992,bristol_challenger,1992-07-06,1992-07-12,United Kingdom of Great Britain and Northern Ireland,Grass,50000,$,100
2011,itf-east-africa-circuit---kenya_itf_juniors1,2011-02-22,2011-02-27,KEN,Clay,,,0
2013,yanggu-international-junior-tennis-championships-2013_itf_juniors1,2013-09-30,2013-10-06,KOR,Hard,,,0
2013,gosford-junior-international_itf_juniors0,2013-10-01,2013-10-06,AUS,Hard,,,0
2000,poland-f4-futures_itf_procircuit0,2000-08-28,2000-09-03,POL,Clay,,,25
2010,argentina-f7-futures_itf_procircuit0,2010-05-31,2010-06-06,ARG,Clay,,,25
2005,ljubljana_challenger,2005-05-23,2005-06-05,Slovenia,Clay,25000,$,100
1953,us-championships,1953-08-29,1953-09-07,USA,Hard,,,2000
2015,copa-santa-catarina-de-tenis_itf_juniors1,2015-10-05,2015-10-10,BRA,Clay,,,0
2012,32nd-asuncion-bowl_itf_juniors1,2012-03-05,2012-03-10,PAR,Clay,,,0
1950,us-championships,1950-08-25,1950-09-05,USA,Hard,,,2000
2013,gosford-junior-international_itf_juniors1,2013-10-01,2013-10-06,AUS,Hard,,,0
2012,almetievsk-open_itf_juniors0,2012-03-06,2012-03-10,RUS,Hard,,,0
2015,jurmala-open_itf_juniors0,2015-10-05,2015-10-10,LAT,Hard,,,0
2018,indian-wells-ca-usa_challenger,2018-02-26,2018-03-04,USA,Hard,150000,$,100
2013,itf-juniors-international-championship_itf_juniors0,2013-10-07,2013-10-12,MAS,Hard,,,0
2012,almetievsk-open_itf_juniors1,2012-03-06,2012-03-10,RUS,Hard,,,0
2017,los-cabos,2017-07-31,2017-08-05,Mexico,Hard,637395,$,250
2015,jurmala-open_itf_juniors1,2015-10-05,2015-10-10,LAT,Hard,,,0
2012,45th-brunei-itf-junior-circuit_itf_juniors0,2012-03-06,2012-03-11,BRU,Hard,,,0
2013,itf-juniors-international-championship_itf_juniors1,2013-10-07,2013-10-12,MAS,Hard,,,0
2012,45th-brunei-itf-junior-circuit_itf_juniors1,2012-03-06,2012-03-11,BRU,Hard,,,0
2016,bastad,2016-07-11,2016-07-17,Sweden,Clay,463520,€,250
2015,wichita-falls-itf_itf_juniors0,2015-10-05,2015-10-11,USA,Hard,,,0
2011,riaan-venter-junior-itf_itf_juniors0,2011-02-28,2011-03-04,RSA,Hard,,,0
2012,china-junior-4-chengdu_itf_juniors0,2012-03-06,2012-03-11,CHN,Hard,,,0
2011,riaan-venter-junior-itf_itf_juniors1,2011-02-28,2011-03-04,RSA,Hard,,,0
2016,washington,2016-07-18,2016-07-24,USA,Hard,1629475,$,500
2000,czech-republic-f1-futures_itf_procircuit0,2000-09-04,2000-09-10,CZE,Clay,,,25
2012,china-junior-4-chengdu_itf_juniors1,2012-03-06,2012-03-11,CHN,Hard,,,0
2015,wichita-falls-itf_itf_juniors1,2015-10-05,2015-10-11,USA,Hard,,,0
2018,china-junior-5-grade-4_itf_juniors1,2018-03-20,2018-03-25,CHN,Hard,,,0
2016,gstaad,2016-07-18,2016-07-24,Switzerland,Clay,463520,€,250
2012,nwu-pukke/rvta-junior-itf-2_itf_juniors0,2012-03-12,2012-03-16,RSA,Hard,,,0
2013,el-sauce-cup_itf_juniors0,2013-10-07,2013-10-12,ARG,Clay,,,0
2016,kitzbuhel,2016-07-18,2016-07-23,Austria,Clay,463520,€,250
2013,el-sauce-cup_itf_juniors1,2013-10-07,2013-10-12,ARG,Clay,,,0
2016,umag,2016-07-18,2016-07-24,Croatia,Clay,463520,€,250
2015,itf-junior-circuit-week-1_itf_juniors0,2015-10-05,2015-10-11,SRI,Clay,,,0
2013,sanchez-casal-junior-cup_itf_juniors0,2013-10-07,2013-10-12,ESP,Clay,,,0
2010,brazil-f16-futures_itf_procircuit0,2010-07-19,2010-07-25,BRA,Clay,,,25
1994,great-britain-1-masters_itf_procircuit0,1994-02-07,1994-03-04,GBR,Carpet,,,25
2000,poland-f5-futures_itf_procircuit0,2000-09-04,2000-09-10,POL,Clay,,,25
2017,hamburg,2017-07-24,2017-07-30,Germany,Clay,1499940,€,500
2001,brazil-f8-futures_itf_procircuit0,2001-11-05,2001-11-11,BRA,Clay,,,25
2017,atlanta,2017-07-24,2017-07-30,USA,Hard,642750,$,250
2000,czech-republic-f2-futures_itf_procircuit0,2000-09-11,2000-09-17,CZE,Clay,,,25
2000,france-f17-futures_itf_procircuit0,2000-09-11,2000-09-17,FRA,Hard,,,25
2000,romania-f2-futures_itf_procircuit0,2000-09-11,2000-09-17,ROU,Clay,,,25
2000,usa-f22a-futures_itf_procircuit0,2000-09-11,2000-09-17,USA,Clay,,,25
2010,bosnia-&-herzegovina-f7-futures_itf_procircuit0,2010-05-31,2010-06-06,BIH,Clay,,,25
2008,poland-f5-futures_itf_procircuit0,2008-08-18,2008-08-24,POL,Clay,,,25
2010,tunisia-f1-futures_itf_procircuit0,2010-05-31,2010-06-06,TUN,Clay,,,25
2017,gstaad,2017-07-24,2017-07-30,Switzerland,Clay,482060,€,250
2008,russia-f4-futures_itf_procircuit0,2008-08-18,2008-08-24,RUS,Clay,,,25
2017,washington,2017-07-31,2017-08-06,USA,Hard,1750080,$,500
2010,spain-f20-futures_itf_procircuit0,2010-06-07,2010-06-13,ESP,Carpet,,,25
2004,india-1_itf_procircuit3,2004-06-07,2004-07-04,IND,Hard,,,25
2004,india-1_itf_procircuit0,2004-06-07,2004-07-04,IND,Hard,,,25
2004,india-1_itf_procircuit1,2004-06-07,2004-07-04,IND,Hard,,,25
2017,kitzbuhel,2017-07-31,2017-08-05,Austria,Clay,482060,€,250
2004,india-1_itf_procircuit2,2004-06-07,2004-07-04,IND,Hard,,,25
2010,usa-f13-futures_itf_procircuit0,2010-06-07,2010-06-13,USA,Hard,,,25
2017,montreal,2017-08-07,2017-08-13,Canada,Hard,4662300,$,1000
2010,morocco-f5-futures_itf_procircuit0,2010-06-28,2010-07-04,MAR,Clay,,,25
2010,romania-f8-futures_itf_procircuit0,2010-07-19,2010-07-25,ROU,Clay,,,25
2010,croatia-f4-futures_itf_procircuit0,2010-08-16,2010-08-22,CRO,Clay,,,25
2010,latvia-f1-futures_itf_procircuit0,2010-08-16,2010-08-22,LAT,Clay,,,25
2014,italy-f13-futures_itf_procircuit0,2014-05-05,2014-05-11,ITA,Clay,,,25
2018,austria-f4-futures_itf_procircuit0,2018-07-23,2018-07-29,AUT,Clay,,,25
2008,atlanta-itf_itf_juniors0,2008-09-22,2008-09-28,USA,Hard,,,0
2018,roland-garros,2018-05-27,2018-06-10,France,Clay,18232000,€,2000
2008,atlanta-itf_itf_juniors1,2008-09-22,2008-09-28,USA,Hard,,,0
2018,stuttgart,2018-06-11,2018-06-17,Germany,Grass,656015,€,250
2018,s-hertogenbosch,2018-06-11,2018-06-17,Netherlands,Grass,612755,€,250
2011,4th-itf-malacca-international-junior-championship_itf_juniors0,2011-02-28,2011-03-04,MAS,Hard,,,0
2011,4th-itf-malacca-international-junior-championship_itf_juniors1,2011-02-28,2011-03-04,MAS,Hard,,,0
2011,copa-universidad-galileo_itf_juniors0,2011-02-28,2011-03-05,GUA,Hard,,,0
2011,copa-universidad-galileo_itf_juniors1,2011-02-28,2011-03-05,GUA,Hard,,,0
2015,itf-junior-circuit-week-1_itf_juniors1,2015-10-05,2015-10-11,SRI,Clay,,,0
2011,uruguay-bowl_itf_juniors0,2011-02-28,2011-03-06,URU,Clay,,,0
2000,jamaica-f1-futures_itf_procircuit0,2000-09-11,2000-09-17,JAM,Hard,,,25
1951,us-championships,1951-08-25,1951-09-05,USA,Hard,,,2000
2011,uruguay-bowl_itf_juniors1,2011-02-28,2011-03-06,URU,Clay,,,0
1952,us-championships,1952-08-29,1952-09-08,USA,Hard,,,2000
2011,itf/cat-north-african-circuit_itf_juniors0,2011-03-01,2011-03-05,MAR,Clay,,,0
2015,ags-4-international-junior-championships-g4_itf_juniors0,2015-10-06,2015-10-11,INA,Hard,,,0
2011,itf/cat-north-african-circuit_itf_juniors1,2011-03-01,2011-03-05,MAR,Clay,,,0
2011,yeltsin-cup_itf_juniors0,2011-03-01,2011-03-06,RUS,Hard,,,0
2015,ags-4-international-junior-championships-g4_itf_juniors1,2015-10-06,2015-10-11,INA,Hard,,,0
2011,yeltsin-cup_itf_juniors1,2011-03-01,2011-03-06,RUS,Hard,,,0
2015,itf-waikato-bays-under-18s-championships-2015_itf_juniors0,2015-10-06,2015-10-11,NZL,Hard,,,0
2011,china-junior-3-shenzhen_itf_juniors0,2011-03-01,2011-03-06,CHN,Hard,,,0
2015,itf-waikato-bays-under-18s-championships-2015_itf_juniors1,2015-10-06,2015-10-11,NZL,Hard,,,0
2015,mian-chang-cup-international-junior-tennis-championships-2015_itf_juniors0,2015-10-06,2015-10-11,TPE,Hard,,,0
2015,mian-chang-cup-international-junior-tennis-championships-2015_itf_juniors1,2015-10-06,2015-10-11,TPE,Hard,,,0
2015,26th-sarawak-chief-minister's-cup-(ii)-itf-junior-circuit-(grade-3)_itf_juniors0,2015-10-06,2015-10-11,MAS,Hard,,,0
2015,26th-sarawak-chief-minister's-cup-(ii)-itf-junior-circuit-(grade-3)_itf_juniors1,2015-10-06,2015-10-11,MAS,Hard,,,0
2000,japan-f6-futures_itf_procircuit0,2000-09-11,2000-09-17,JPN,Hard,,,25
1997,spain-2-masters_itf_procircuit2,1997-01-31,1997-03-02,ESP,Clay,,,25
1997,spain-2-masters_itf_procircuit3,1997-01-31,1997-03-02,ESP,Clay,,,25
1997,spain-2-masters_itf_procircuit0,1997-01-31,1997-03-02,ESP,Clay,,,25
1997,spain-2-masters_itf_procircuit1,1997-01-31,1997-03-02,ESP,Clay,,,25
2000,norway-f1-futures_itf_procircuit0,2000-09-11,2000-09-17,NOR,Carpet,,,25
2001,mexico-f11-futures_itf_procircuit0,2001-11-05,2001-11-11,MEX,Hard,,,25
2000,peru-f3-futures_itf_procircuit0,2000-09-11,2000-09-17,PER,Clay,,,25
1997,france-2-masters_itf_procircuit1,1997-02-01,1997-03-01,FRA,Clay,,,25
1997,france-2-masters_itf_procircuit2,1997-02-01,1997-03-01,FRA,Clay,,,25
1997,france-2-masters_itf_procircuit3,1997-02-01,1997-03-01,FRA,Clay,,,25
1997,france-2-masters_itf_procircuit0,1997-02-01,1997-03-01,FRA,Clay,,,25
